tweet_id	label
200412	Self_reports
105754	Lit-News_mentions
105585	Lit-News_mentions
101614	Lit-News_mentions
302008	non-personal_reports
101192	Lit-News_mentions
100424	Lit-News_mentions
105506	Lit-News_mentions
101506	Lit-News_mentions
101639	Lit-News_mentions
300867	non-personal_reports
302332	Self_reports
104530	Lit-News_mentions
105392	Lit-News_mentions
300124	non-personal_reports
103681	Lit-News_mentions
101675	Lit-News_mentions
101637	Lit-News_mentions
101508	Lit-News_mentions
101822	non-personal_reports
100223	Lit-News_mentions
102928	Lit-News_mentions
103639	Lit-News_mentions
104698	Lit-News_mentions
105462	Lit-News_mentions
105341	Lit-News_mentions
104785	Lit-News_mentions
102603	Lit-News_mentions
301579	non-personal_reports
102999	Lit-News_mentions
103115	non-personal_reports
105761	Lit-News_mentions
100829	Lit-News_mentions
101352	Lit-News_mentions
100965	Lit-News_mentions
201121	Self_reports
101656	Lit-News_mentions
105567	Lit-News_mentions
301621	non-personal_reports
105460	Lit-News_mentions
100048	Lit-News_mentions
301983	non-personal_reports
104867	Lit-News_mentions
104659	Lit-News_mentions
100180	Lit-News_mentions
105653	Lit-News_mentions
102182	Lit-News_mentions
102272	Lit-News_mentions
200529	Self_reports
103295	Lit-News_mentions
301143	Self_reports
200142	Self_reports
200537	Lit-News_mentions
102727	Lit-News_mentions
201153	Lit-News_mentions
102111	Lit-News_mentions
201117	Self_reports
101407	Lit-News_mentions
301836	Self_reports
100281	Lit-News_mentions
102501	Lit-News_mentions
302180	Self_reports
201071	Self_reports
300157	non-personal_reports
101245	non-personal_reports
105169	Lit-News_mentions
100762	Lit-News_mentions
200965	Self_reports
201311	Self_reports
104637	Lit-News_mentions
300921	Self_reports
301717	Self_reports
200696	Lit-News_mentions
102311	Lit-News_mentions
201252	Self_reports
104963	Lit-News_mentions
101230	Lit-News_mentions
100564	Lit-News_mentions
100095	Lit-News_mentions
105674	Lit-News_mentions
104394	Lit-News_mentions
301125	non-personal_reports
300110	non-personal_reports
201251	Self_reports
301690	non-personal_reports
105015	Lit-News_mentions
101339	Lit-News_mentions
200569	Self_reports
100894	Lit-News_mentions
300144	non-personal_reports
100265	Lit-News_mentions
104608	Lit-News_mentions
103591	Lit-News_mentions
105021	Lit-News_mentions
100792	Lit-News_mentions
200611	Self_reports
302261	non-personal_reports
104713	Lit-News_mentions
301175	Self_reports
302119	Self_reports
302070	non-personal_reports
302038	Self_reports
105142	Lit-News_mentions
302098	Self_reports
104046	Lit-News_mentions
300033	non-personal_reports
