tweet_id	label
105978	Lit-News_mentions
102876	Lit-News_mentions
104075	Lit-News_mentions
104483	Lit-News_mentions
102610	Lit-News_mentions
200073	Self_reports
101544	Lit-News_mentions
201311	Self_reports
101533	Lit-News_mentions
201419	Self_reports
100826	Lit-News_mentions
301234	Self_reports
100915	Lit-News_mentions
100738	Lit-News_mentions
100262	Lit-News_mentions
105552	Lit-News_mentions
101787	Lit-News_mentions
100609	Lit-News_mentions
102332	Lit-News_mentions
301436	Self_reports
200333	Self_reports
105226	Lit-News_mentions
200552	Self_reports
201295	Self_reports
101034	Lit-News_mentions
301137	Self_reports
300300	Lit-News_mentions
101308	Lit-News_mentions
102428	Lit-News_mentions
101260	Lit-News_mentions
301783	Self_reports
103767	Lit-News_mentions
100764	Lit-News_mentions
102943	Lit-News_mentions
300156	Self_reports
100595	Lit-News_mentions
104068	Lit-News_mentions
100111	Lit-News_mentions
201262	Self_reports
100155	Lit-News_mentions
102673	Lit-News_mentions
102405	Lit-News_mentions
101910	Lit-News_mentions
105353	Lit-News_mentions
301272	non-personal_reports
105927	Lit-News_mentions
300123	Lit-News_mentions
301978	Lit-News_mentions
302106	Lit-News_mentions
100554	Lit-News_mentions
200169	Self_reports
102684	Lit-News_mentions
100468	Lit-News_mentions
100700	Lit-News_mentions
200935	Self_reports
102919	Lit-News_mentions
105359	Lit-News_mentions
102390	Lit-News_mentions
300656	Lit-News_mentions
300895	non-personal_reports
102929	Lit-News_mentions
300955	non-personal_reports
200430	non-personal_reports
101804	Lit-News_mentions
100936	Lit-News_mentions
103688	Lit-News_mentions
300662	non-personal_reports
101042	Lit-News_mentions
104846	Lit-News_mentions
105489	Lit-News_mentions
301907	non-personal_reports
101037	Lit-News_mentions
200818	Self_reports
100881	Lit-News_mentions
103755	Lit-News_mentions
104046	Lit-News_mentions
101064	Lit-News_mentions
300643	non-personal_reports
103439	Lit-News_mentions
104826	Lit-News_mentions
103530	Lit-News_mentions
300990	Lit-News_mentions
100174	Lit-News_mentions
300222	non-personal_reports
104110	Lit-News_mentions
302290	non-personal_reports
102617	Lit-News_mentions
302218	Lit-News_mentions
200522	Self_reports
100965	Lit-News_mentions
102277	Lit-News_mentions
104260	Lit-News_mentions
105376	Lit-News_mentions
100928	Lit-News_mentions
101700	Lit-News_mentions
100718	Lit-News_mentions
100520	Lit-News_mentions
200077	Self_reports
105815	Lit-News_mentions
300927	non-personal_reports
100711	Lit-News_mentions
100283	Lit-News_mentions
200478	Self_reports
300229	Self_reports
104474	Lit-News_mentions
102718	Lit-News_mentions
302235	Lit-News_mentions
103573	Lit-News_mentions
101745	Lit-News_mentions
300965	Lit-News_mentions
200955	Self_reports
101465	Lit-News_mentions
100352	Lit-News_mentions
300768	Lit-News_mentions
104247	Lit-News_mentions
102928	Lit-News_mentions
105943	Lit-News_mentions
101785	Lit-News_mentions
102820	Lit-News_mentions
103744	Lit-News_mentions
301069	non-personal_reports
104298	Lit-News_mentions
101293	Lit-News_mentions
102417	Lit-News_mentions
102439	Lit-News_mentions
103753	Lit-News_mentions
101477	Lit-News_mentions
200678	Self_reports
300009	Lit-News_mentions
100514	Lit-News_mentions
103765	Lit-News_mentions
200291	Self_reports
301133	non-personal_reports
102227	Lit-News_mentions
300641	Self_reports
100774	Lit-News_mentions
102441	Lit-News_mentions
101378	non-personal_reports
300642	Lit-News_mentions
101762	Lit-News_mentions
301213	non-personal_reports
102046	Lit-News_mentions
300574	Lit-News_mentions
200393	Self_reports
105598	Lit-News_mentions
105169	Lit-News_mentions
101519	Lit-News_mentions
301740	non-personal_reports
103251	Lit-News_mentions
104974	Lit-News_mentions
300675	Self_reports
102528	Lit-News_mentions
200453	Self_reports
100746	Lit-News_mentions
200466	Self_reports
201358	Self_reports
101492	Lit-News_mentions
200156	Self_reports
104581	Lit-News_mentions
300393	non-personal_reports
301546	Self_reports
101878	Lit-News_mentions
103130	Lit-News_mentions
101195	Lit-News_mentions
301811	Self_reports
100221	Lit-News_mentions
200810	Self_reports
302174	Lit-News_mentions
105723	Lit-News_mentions
104022	Lit-News_mentions
105249	Lit-News_mentions
200513	Self_reports
103941	Lit-News_mentions
201510	Lit-News_mentions
104331	Lit-News_mentions
105554	Lit-News_mentions
300264	Lit-News_mentions
100976	Lit-News_mentions
102904	Lit-News_mentions
102711	Lit-News_mentions
103566	Lit-News_mentions
102911	Lit-News_mentions
300904	non-personal_reports
100977	Lit-News_mentions
101707	Lit-News_mentions
201270	Self_reports
102843	Lit-News_mentions
201549	Self_reports
100113	Lit-News_mentions
200356	Self_reports
103864	Lit-News_mentions
102058	Lit-News_mentions
100311	Lit-News_mentions
104070	Lit-News_mentions
101207	Lit-News_mentions
102890	Lit-News_mentions
105383	Lit-News_mentions
102623	Lit-News_mentions
103115	Lit-News_mentions
301864	non-personal_reports
300623	non-personal_reports
105356	Lit-News_mentions
104330	Lit-News_mentions
101068	Lit-News_mentions
102535	Lit-News_mentions
105908	Lit-News_mentions
300575	Lit-News_mentions
104731	Lit-News_mentions
300970	Self_reports
200177	Self_reports
104748	Lit-News_mentions
300527	Lit-News_mentions
100728	Lit-News_mentions
103160	Lit-News_mentions
300192	non-personal_reports
104514	Lit-News_mentions
301217	Lit-News_mentions
201281	Self_reports
105824	Lit-News_mentions
102288	Lit-News_mentions
200117	Self_reports
104739	Lit-News_mentions
200647	Self_reports
105440	Lit-News_mentions
103647	Self_reports
100114	Lit-News_mentions
102396	Lit-News_mentions
101172	Lit-News_mentions
102270	Lit-News_mentions
104708	Lit-News_mentions
200288	Self_reports
102493	Lit-News_mentions
301715	non-personal_reports
200754	Self_reports
103747	Lit-News_mentions
104350	Lit-News_mentions
102056	Lit-News_mentions
301976	Lit-News_mentions
100334	Lit-News_mentions
301408	Lit-News_mentions
102338	Self_reports
104461	Lit-News_mentions
105407	Lit-News_mentions
300945	Lit-News_mentions
302170	Lit-News_mentions
100680	Lit-News_mentions
101063	Lit-News_mentions
100150	Lit-News_mentions
100594	Lit-News_mentions
101218	Lit-News_mentions
300324	Lit-News_mentions
100131	Lit-News_mentions
100537	Lit-News_mentions
104993	Lit-News_mentions
100142	Lit-News_mentions
101067	Lit-News_mentions
101725	Lit-News_mentions
102712	Lit-News_mentions
200065	Self_reports
105003	Lit-News_mentions
102366	Lit-News_mentions
200385	Self_reports
100732	non-personal_reports
100573	Lit-News_mentions
200481	Self_reports
102854	Lit-News_mentions
301846	Self_reports
301803	non-personal_reports
103189	Lit-News_mentions
301350	non-personal_reports
101443	Lit-News_mentions
100078	Lit-News_mentions
102828	Lit-News_mentions
101789	Lit-News_mentions
301912	Lit-News_mentions
104370	Lit-News_mentions
105842	Lit-News_mentions
104867	Lit-News_mentions
105496	Lit-News_mentions
100492	Lit-News_mentions
105528	Lit-News_mentions
104191	Lit-News_mentions
300115	non-personal_reports
201038	Self_reports
101003	Lit-News_mentions
302117	non-personal_reports
101214	Lit-News_mentions
302098	Self_reports
200271	Self_reports
100011	Lit-News_mentions
102362	Lit-News_mentions
105564	Lit-News_mentions
100670	Lit-News_mentions
101052	non-personal_reports
100654	Lit-News_mentions
105641	Lit-News_mentions
302212	Self_reports
300892	Self_reports
101213	Lit-News_mentions
302032	Lit-News_mentions
301853	non-personal_reports
100090	Lit-News_mentions
200617	Self_reports
301657	non-personal_reports
301008	Lit-News_mentions
100034	Lit-News_mentions
